sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is shaking his arms in the air.,enthusiasm,none,none,none,active,gets sweaty,to play,none,scared,to run away
there is glue and newspaper on the desk.,enthusiasm,none,none,none,careless,none,none,none,annoyed,to make a mess
the girl is smiling.,enthusiasm,none,happy,none,friendly,none,none,none,happy,to kiss her
the boy is frowning.,enthusiasm,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
there is a boy and a girl.,enthusiasm,none,none,none,young,none,none,none,happy,to have a baby
they are standing at a table covered in newspaper.,enthusiasm,none,none,none,curious,gets a paper cut,none,none,interested,to read the newspaper
the girl has tossed a sugar cube at a building made of sugar cubes.,enthusiasm,none,none,none,careless,gets yelled at,to be a fool,none,happy,to eat the sugar cube
the building is tipping over and stray sugar cubes are falling everywhere.,enthusiasm,none,none,none,careless,none,none,none,sad,to clean up
the boy is shouting something and his hands are in the air.,enthusiasm,none,none,none,loud,gets yelled at,to be heard,none,silly,to get attention
the girl is smiling.,enthusiasm,none,happy,none,friendly,none,none,none,happy,to kiss her
